ANO4,TRIMESTRE,REGION,IPC_VAL
2016,1,GBA,100.0
2016,1,Pampeana,100.0
2016,1,Noreste,100.0
2016,1,Noroeste,100.0
2016,1,Cuyo,100.0
2016,1,Patagonia,100.0
2016,1,Nacional,100.0
2017,1,GBA,101.313
2017,1,Pampeana,101.7874
2017,1,Noreste,101.6727
2017,1,Noroeste,101.6014
2017,1,Cuyo,101.7074
2017,1,Patagonia,102.5593
2017,1,Nacional,101.5859
2017,2,GBA,109.0613
2017,2,Pampeana,108.6912
2017,2,Noreste,108.3473
2017,2,Noroeste,109.9626
2017,2,Cuyo,109.4506
2017,2,Patagonia,108.6517
2017,2,Nacional,108.9667
2017,3,GBA,113.9199
2017,3,Pampeana,113.5783
2017,3,Noreste,113.3741
2017,3,Noroeste,114.2857
2017,3,Cuyo,114.0184
2017,3,Patagonia,113.3785
2017,3,Nacional,113.7852
2018,1,GBA,127.0147
2018,1,Pampeana,127.3092
2018,1,Noreste,124.7172
2018,1,Noroeste,126.6479
2018,1,Cuyo,127.4142
2018,1,Patagonia,126.6303
2018,1,Nacional,126.9887
2018,2,GBA,136.938
2018,2,Pampeana,136.6295
2018,2,Noreste,133.8357
2018,2,Noroeste,137.0205
2018,2,Cuyo,138.0246
2018,2,Patagonia,136.8583
2018,2,Nacional,136.7512
2018,3,GBA,149.1178
2018,3,Pampeana,149.6247
2018,3,Noreste,146.3416
2018,3,Noroeste,149.9066
2018,3,Cuyo,150.9503
2018,3,Patagonia,148.7858
2018,3,Nacional,149.2966
2019,1,GBA,189.1236
2019,1,Pampeana,189.805
2019,1,Noreste,186.9737
2019,1,Noroeste,189.6231
2019,1,Cuyo,193.2068
2019,1,Patagonia,191.5466
2019,1,Nacional,189.6101
2019,2,GBA,212.4469
2019,2,Pampeana,213.0489
2019,2,Noreste,212.6973
2019,2,Noroeste,214.7732
2019,2,Cuyo,216.4238
2019,2,Patagonia,213.0509
2019,2,Nacional,213.0517
2019,3,GBA,229.4286
2019,3,Pampeana,230.5038
2019,3,Noreste,229.1739
2019,3,Noroeste,233.932
2019,3,Cuyo,234.9103
2019,3,Patagonia,232.2018
2019,3,Nacional,230.494
2020,1,GBA,286.4913
2020,1,Pampeana,291.529
2020,1,Noreste,293.6216
2020,1,Noroeste,292.5465
2020,1,Cuyo,297.7698
2020,1,Patagonia,293.5954
2020,1,Nacional,289.8299
2020,2,GBA,306.4483
2020,2,Pampeana,311.6597
2020,2,Noreste,317.2318
2020,2,Noroeste,317.1934
2020,2,Cuyo,318.1874
2020,2,Patagonia,308.4722
2020,2,Nacional,310.1243
2020,3,GBA,322.6791
2020,3,Pampeana,331.4429
2020,3,Noreste,337.1583
2020,3,Noroeste,335.8753
2020,3,Cuyo,337.4552
2020,3,Patagonia,328.1311
2020,3,Nacional,328.2014
2021,1,GBA,389.4454
2021,1,Pampeana,410.2886
2021,1,Noreste,422.54
2021,1,Noroeste,416.2149
2021,1,Cuyo,418.0148
2021,1,Patagonia,394.4385
2021,1,Nacional,401.5071
2021,2,GBA,441.8955
2021,2,Pampeana,462.5053
2021,2,Noreste,471.9102
2021,2,Noroeste,465.799
2021,2,Cuyo,472.8822
2021,2,Patagonia,446.4921
2021,2,Nacional,453.6503
2021,3,GBA,485.3036
2021,3,Pampeana,507.0547
2021,3,Noreste,515.5473
2021,3,Noroeste,510.3946
2021,3,Cuyo,523.5377
2021,3,Patagonia,494.1249
2021,3,Nacional,498.0987
2022,1,GBA,593.4219
2022,1,Pampeana,612.8039
2022,1,Noreste,626.964
2022,1,Noroeste,618.7562
2022,1,Cuyo,627.2454
2022,1,Patagonia,595.088
2022,1,Nacional,605.0317
2022,2,GBA,702.829
2022,2,Pampeana,723.9509
2022,2,Noreste,748.3056
2022,2,Noroeste,736.7727
2022,2,Cuyo,747.3483
2022,2,Patagonia,709.7623
2022,2,Nacional,716.9399
2022,3,GBA,833.8894
2022,3,Pampeana,861.702
2022,3,Noreste,887.9574
2022,3,Noroeste,873.5624
2022,3,Cuyo,888.7017
2022,3,Patagonia,845.0397
2022,3,Nacional,851.761
2023,1,GBA,1180.967
2023,1,Pampeana,1215.4751
2023,1,Noreste,1255.1401
2023,1,Noroeste,1233.9904
2023,1,Cuyo,1246.1488
2023,1,Patagonia,1181.5995
2023,1,Nacional,1202.979
2023,2,GBA,1475.1378
2023,2,Pampeana,1512.803
2023,2,Noreste,1556.9071
2023,2,Noroeste,1530.4512
2023,2,Cuyo,1538.063
2023,2,Patagonia,1445.0457
2023,2,Nacional,1497.2147
2023,3,GBA,1789.4275
2023,3,Pampeana,1835.8968
2023,3,Noreste,1892.223
2023,3,Noroeste,1868.6534
2023,3,Cuyo,1850.3918
2023,3,Patagonia,1784.2535
2023,3,Nacional,1818.0838
2024,1,GBA,4132.479
2024,1,Pampeana,4344.9628
2024,1,Noreste,4535.8005
2024,1,Noroeste,4413.6008
2024,1,Cuyo,4402.1802
2024,1,Patagonia,4264.4518
2024,1,Nacional,4261.5324
2024,2,GBA,5785.57
2024,2,Pampeana,5884.001
2024,2,Noreste,5899.333
2024,2,Noroeste,5849.8
2024,2,Cuyo,5908.465
2024,2,Patagonia,5686.543
2024,2,Nacional,5830.227
2024,3,GBA,6551.322
2024,3,Pampeana,6662.327
2024,3,Noreste,6681.825
2024,3,Noroeste,6612.687
2024,3,Cuyo,6769.785
2024,3,Patagonia,6497.565
2024,3,Nacional,6607.748
2025,1,GBA,7834.1477
2025,1,Pampeana,7867.7709
2025,1,Noreste,7929.1117
2025,1,Noroeste,7912.5281
2025,1,Cuyo,7941.8472
2025,1,Patagonia,7910.4797
2025,1,Nacional,7864.1257
2025,2,GBA,8547.3129
2025,2,Pampeana,8591.2047
2025,2,Noreste,8555.3175
2025,2,Noroeste,8710.4114
2025,2,Cuyo,8682.2113
2025,2,Patagonia,8659.3943
2025,2,Nacional,8585.6078
2025,3,GBA,9016.5562
2025,3,Pampeana,9016.3238
2025,3,Noreste,8905.132
2025,3,Noroeste,9073.9428
2025,3,Cuyo,9074.6511
2025,3,Patagonia,9141.623
2025,3,Nacional,9023.973
